file_path,router_name,method,path,handler,decorator_line,handler_start_line,handler_end_line,tags,response_model,status_code,auth_required,db_tables,external_calls
backend\agents\tools\ocr_complex\api.py,app,GET,/health,health,24,25,26,,,,True,,
backend\agents\tools\ocr_complex\api.py,app,POST,/process,process_file,29,30,51,,,,True,,
backend\agents\tools\ocr_complex\api.py,app,POST,/batch,process_batch,54,55,70,,,,True,,
backend\api\system.py,app,GET,/,root,18,19,27,,,,True,,
backend\api\system.py,app,GET,/health,health_check,30,31,56,,,,True,,
backend\api\v1\admin.py,app,GET,/admin/stats,get_system_stats,51,52,128,,StatsResponse,,True,,
backend\api\v1\admin.py,app,POST,/admin/cleanup,trigger_cleanup,131,132,178,,,,True,,
backend\api\v1\admin.py,app,POST,/admin/reindex,trigger_reindexing,181,182,258,,,,True,,
backend\api\v1\admin.py,app,POST,/admin/backup,trigger_backup,261,262,307,,,,True,,
backend\api\v1\admin.py,app,GET,/admin/logs,get_system_logs,310,311,351,,,,True,,
backend\api\v1\admin.py,app,POST,/admin/maintenance,toggle_maintenance_mode,354,355,389,,,,True,,
backend\api\v1\admin.py,app,GET,/admin/feature-flags,get_feature_flags_endpoint,392,393,411,,,,True,,
backend\api\v1\admin.py,app,POST,/admin/feature-flags,update_feature_flag_endpoint,414,415,444,,,,True,,
backend\api\v1\admin.py,app,GET,/admin/users,get_user_stats,447,448,476,,,,True,,
backend\api\v1\admin.py,app,POST,/admin/jobs/schedule,schedule_job,479,480,506,,,,True,,
backend\api\v1\admin.py,app,GET,/admin/system/info,get_system_info,509,510,544,,,,True,,
backend\api\v1\agents.py,app,POST,/execute,execute_agent,199,200,256,,AgentResponse,,True,,
backend\api\v1\agents.py,app,GET,,list_agents_root,259,260,261,,,,True,,
backend\api\v1\agents.py,app,GET,/agents,list_agents,264,265,273,,,,True,,
backend\api\v1\agents.py,app,GET,/{agent_name},get_agent_info_root,276,277,278,,AgentInfoResponse,,True,,
backend\api\v1\agents.py,app,GET,/agents/{agent_name},get_agent_info,281,282,296,,AgentInfoResponse,,True,,
backend\api\v1\agents.py,app,GET,/stats,get_dispatcher_stats,299,300,308,,DispatcherStatsResponse,,True,,
backend\api\v1\agents.py,app,GET,/history,get_request_history,311,312,341,,,,True,,
backend\api\v1\agents.py,app,GET,/health,health_check,344,345,392,,HealthResponse,,True,,
backend\api\v1\agents.py,app,POST,/context/load,load_context,395,396,421,,,,True,,
backend\api\v1\agents.py,app,POST,/batch-execute,batch_execute_agents,424,425,479,,,,True,,
backend\api\v1\agents.py,app,DELETE,/history,clear_history,482,483,501,,,,True,,
backend\api\v1\agents_stream.py,app,POST,/execute/stream,execute_agent_stream,123,124,164,,,,True,,
backend\api\v1\agents_stream.py,app,POST,/execute,execute_agent,167,168,235,,AgentResponse,,True,,
backend\api\v1\agents_stream.py,app,GET,/status/{session_id},get_session_status,238,239,290,,,,True,,
backend\api\v1\agents_stream.py,app,GET,/sessions,list_sessions,293,294,336,,,,True,,
backend\api\v1\agents_stream.py,app,POST,/sessions/{session_id}/cancel,cancel_session,339,340,381,,,,True,,
backend\api\v1\agents_stream.py,app,GET,,list_available_agents_root,384,385,386,,,,True,,
backend\api\v1\agents_stream.py,app,GET,/agents,list_available_agents,389,390,414,,,,True,,
backend\api\v1\agents_stream.py,app,GET,/health,get_agent_health,417,418,445,,,,True,,
backend\api\v1\ai_inference.py,app,POST,/inference,single_inference,210,211,438,,InferenceResponseModel,,True,,
backend\api\v1\ai_inference.py,app,POST,/batch-inference,batch_inference,441,442,556,,BatchInferenceResponseModel,,True,,
backend\api\v1\ai_inference.py,app,GET,/status,get_status,641,642,699,,StatusResponseModel,,True,,
backend\api\v1\ai_inference.py,app,GET,/providers,get_providers,702,703,731,,,,True,,
backend\api\v1\ai_inference.py,app,POST,/clear-cache,clear_cache,734,735,769,,,,True,,
backend\api\v1\ai_inference.py,app,GET,/analytics,get_analytics,772,773,808,,,,True,,
backend\api\v1\ai_proxy.py,app,POST,/generate,generate_content,25,26,109,,,,True,,
backend\api\v1\ai_proxy.py,app,GET,/models,list_models,112,113,129,,,,True,,
backend\api\v1\ai_proxy.py,app,GET,/usage,get_usage_stats,132,133,148,,,,True,,
backend\api\v1\analytics.py,app,GET,/usage,get_usage_stats,88,90,192,,UsageStatsResponse,,True,,
backend\api\v1\analytics.py,app,GET,/performance,get_performance_metrics,195,197,320,,PerformanceResponse,,True,,
backend\api\v1\analytics.py,app,GET,/costs,get_cost_breakdown,323,325,467,,CostResponse,,True,,
backend\api\v1\analytics.py,app,GET,/campaigns/{campaign_id}/performance,get_campaign_performance,470,473,633,,CampaignMetricsResponse,,True,,
backend\api\v1\analytics.py,app,GET,/workspaces/{workspace_id},get_workspace_analytics,636,638,807,,WorkspaceAnalyticsResponse,,True,,
backend\api\v1\analytics.py,app,GET,/dashboard,get_dashboard_analytics,810,811,896,,,,True,,
backend\api\v1\analytics_v2.py,app,GET,/moves,get_moves_performance,26,27,64,,ModulePerformance,,True,,
backend\api\v1\analytics_v2.py,app,GET,/muse,get_muse_performance,67,68,100,,ModulePerformance,,True,,
backend\api\v1\approvals.py,app,GET,/pending,list_pending_approvals,97,98,148,,ApprovalListResponse,,True,,
backend\api\v1\approvals.py,app,POST,/{gate_id}/approve,approve_request,151,152,213,,ApprovalDecisionResponse,,True,,
backend\api\v1\approvals.py,app,POST,/{gate_id}/reject,reject_request,216,217,281,,ApprovalDecisionResponse,,True,,
